,precision,recall,f1-score,support
10,0.325214899713467,0.3486943164362519,0.3365455893254262,651.0
40,0.4043887147335423,0.249034749034749,0.3082437275985663,518.0
50,0.1549636803874092,0.1916167664670658,0.1713520749665328,334.0
60,0.1251489868891537,0.5706521739130435,0.2052785923753665,184.0
1140,0.2566096423017107,0.3066914498141264,0.279424216765453,538.0
1160,0.7986013986013986,0.6963414634146341,0.7439739413680782,820.0
1180,0.1964285714285714,0.1746031746031746,0.1848739495798319,126.0
1280,0.2915129151291513,0.0813594232749742,0.1272141706924315,971.0
1281,0.2484472049689441,0.0941176470588235,0.136518771331058,425.0
1300,0.3702801461632156,0.3114754098360656,0.3383416805787423,976.0
1301,0.0621707060063224,0.3430232558139535,0.1052631578947368,172.0
1302,0.1940298507462686,0.1029702970297029,0.1345407503234152,505.0
1320,0.2434210526315789,0.0550595238095238,0.0898058252427184,672.0
1560,0.4107946026986507,0.2681017612524461,0.3244523386619301,1022.0
1920,0.6019900497512438,0.5634458672875436,0.582080577269994,859.0
1940,0.1666666666666666,0.5568862275449101,0.256551724137931,167.0
2060,0.3728813559322034,0.1786802030456852,0.2415923129718599,985.0
2220,0.0596153846153846,0.2,0.0918518518518518,155.0
2280,0.5706874189364461,0.4878048780487805,0.5260011954572624,902.0
2403,0.3513119533527696,0.5079030558482613,0.4153382162860836,949.0
2462,0.2117647058823529,0.4158415841584158,0.2806236080178174,303.0
2522,0.3695198329853862,0.359026369168357,0.3641975308641975,986.0
2582,0.2622107969151671,0.1878453038674033,0.2188841201716737,543.0
2583,0.7519650655021834,0.4228880157170923,0.5413392015089594,2036.0
2585,0.1413673232908459,0.2435129740518962,0.1788856304985337,501.0
2705,0.3330029732408325,0.6199261992619927,0.4332688588007737,542.0
2905,0.1823647294589178,0.6453900709219859,0.284375,141.0
accuracy,0.3430489312842254,0.3430489312842254,0.3430489312842254,0.3430489312842254
macro avg,0.3132355788492513,0.340107117062254,0.292622911649675,16983.0
weighted avg,0.4065424089054228,0.3430489312842254,0.3497949065851841,16983.0
